Marker Name;Left Median;Right Median;Diff;Abs Diff;Count Left;Count Right;Count Delta
PostLateUpdate.InputEndFrame;0.00;0.00;0.00;0.00;1;1;0
UnityEngine.UIModule.dll!UnityEngine::Canvas.SendWillRenderCanvases() [Invoke];0.00;0.00;0.00;0.00;1;1;0
Physics2D.SyncRigidbodyTransformChanges;0.00;-;0.00;0.00;1;-;-1
Physics2D.SyncColliderTransformChanges;0.00;-;0.00;0.00;1;-;-1
SoundManager.Update;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Systems.DummySimulationSystem;0.00;0.00;0.00;0.00;1;1;0
ConstraintManager::Update::JobSetup;0.00;0.00;0.00;0.00;1;1;0
PreUpdate.CheckTexFieldInput;0.00;0.00;0.00;0.00;1;1;0
EditorConnection.RefreshObservablePlayerList;0.00;0.00;0.00;0.00;1;1;0
GPUResidentDrawer.ProcessLODGroups;0.00;0.00;0.00;0.00;1;1;0
Camera.Render;0.00;0.00;0.00;0.00;1;1;0
Unity.ResourceManager.dll!::MonoBehaviourCallbackHooks.LateUpdate() [Invoke];0.00;0.00;0.00;0.00;2;2;0
EarlyUpdate.UpdateCanvasRectTransform;0.00;0.00;0.00;0.00;1;1;0
Inl_DecalDrawIntoDBufferSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
UpdateRendererBoundingVolumes;0.00;0.00;0.00;0.00;1;1;0
CoroutinesDelayedCalls;0.00;0.00;0.00;0.00;5;4;-1
EarlyUpdate.InsightsUpdate;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Authoring.DisplayBroadphaseAabbsSystem;0.00;0.00;0.00;0.00;1;1;0
Physics.Interpolation;0.00;0.00;0.00;0.00;2;1;-1
AddNew;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Entities.BeginPresentationEntityCommandBufferSystem;0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.DispatchEventQueueEvents;0.00;0.00;0.00;0.00;1;1;0
LateBehaviourUpdate;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Transforms.TransformSystemGroup;0.00;0.00;0.00;0.00;1;1;0
UnityEngine.InputModule.dll!UnityEngineInternal.Input::NativeInputSystem.NotifyUpdate() [Invoke];0.01;0.01;0.00;0.00;1;1;0
Profiler.CollectLegacyStats;0.00;0.00;0.00;0.00;1;1;0
UpdateFilterSettings;0.00;0.00;0.00;0.00;1;1;0
LowLevelPhysics2D.PhysicsWorld.RenderWorlds;0.00;0.00;0.00;0.00;1;1;0
UnityEngine.IMGUIModule.dll!UnityEngine::Event.Internal_MakeMasterEventCurrent() [Invoke];0.00;0.00;0.00;0.00;1;1;0
SpeedTreeWindManager.Update;0.00;0.00;0.00;0.00;1;1;0
UIElements.CollectLayoutNodes;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Authoring.DisplayContactsSystem;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Transforms.ParentSystem;0.00;0.00;0.00;0.00;1;1;0
LightCookies;0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.UpdateStreamingManager;0.00;0.00;0.00;0.00;1;1;0
UnityEngine.AIModule.dll!UnityEngine.AI::NavMesh.Internal_CallOnNavMeshPreUpdate() [Invoke];0.00;0.00;0.00;0.00;1;1;0
ContentLoadFrontend.IntegrateUpdate;0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.UpdateAsyncInstantiate;0.00;0.00;0.00;0.00;1;1;0
GlobalEventQueue;0.00;0.00;0.00;0.00;1;1;0
PreLateUpdate.DirectorUpdateAnimationBegin;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Systems.ColliderBlobCleanupSystem;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Rendering.PushBlendWeightSystem;0.00;0.00;0.00;0.00;1;1;0
UpdateEntitiesGraphicsBatches;0.00;0.00;0.00;0.00;1;1;0
RenderTexture.GarbageCollectTemporary;0.00;0.00;0.00;0.00;2;2;0
Default World Unity.Scenes.WeakAssetReferenceLoadingSystem;0.00;0.00;0.00;0.00;1;1;0
GarbageCollector.CollectIncremental;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Systems.InvalidatedTemporalCoherenceCleanupSystem;0.00;0.00;0.00;0.00;1;1;0
Physics2D.CollectProfileInfo;0.00;0.00;0.00;0.00;1;1;0
PreUpdate.UpdateVideo;0.00;0.00;0.00;0.00;1;1;0
Director.PrepareFrame;0.00;0.00;0.00;0.00;7;5;-2
UGUI.Rendering.EmitWorldScreenspaceCameraGeometry;0.00;0.00;0.00;0.00;2;2;0
ObjectDispatcher.CollectInstances;0.00;0.00;0.00;0.00;5;5;0
Default World Unity.Rendering.RenderBoundsUpdateSystem;0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.SpriteAtlasManagerUpdate;0.00;0.00;0.00;0.00;1;1;0
UIEvents.CanvasManagerEmitOffScreenGeometry;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Authoring.DisplayBodyColliderEdges_Default;0.00;0.00;0.00;0.00;1;1;0
GPUResidentDrawer.ProcessMeshes;0.00;0.00;0.00;0.00;1;1;0
PreLateUpdate.LegacyAnimationUpdate;0.00;0.00;0.00;0.00;1;1;0
UI.RenderOverlays;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.ScriptRunDelayedDynamicFrameRate;0.00;0.00;0.00;0.00;1;1;0
suspendPointHook.Invoke;0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.TilemapRendererEarlyUpdate;0.00;0.00;0.00;0.00;1;1;0
Remove;0.00;0.00;0.00;0.00;1;1;0
Profiler.ScreenshotUpdate;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.GUIClearEvents;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.BatchModeUpdate;0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.ResetFrameStatsAfterPresent;0.00;0.00;0.00;0.00;1;1;0
DecalDrawFowardEmissiveSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
DecalDrawIntoDBufferSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.ResetInputAxis;0.00;0.00;0.00;0.00;1;1;0
Inl_DecalDrawFowardEmissiveSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
Inl_DecalUpdateCachedSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
FixedUpdate.ScriptRunDelayedFixedFrameRate;0.00;-;0.00;0.00;1;-;-1
FixedUpdate.DirectorFixedUpdatePostPhysics;0.00;-;0.00;0.00;1;-;-1
Physics.WriteColliderPoses;0.00;-;0.00;0.00;1;-;-1
Physics.CalculateChangedBodyTransforms;0.00;-;0.00;0.00;1;-;-1
FixedUpdate.XRFixedUpdate;0.00;-;0.00;0.00;1;-;-1
RenderTarget.SetActive;0.00;0.00;0.00;0.00;7;6;-1
FixedUpdate.ClearLines;0.00;-;0.00;0.00;1;-;-1
PostLateUpdate.PhysicsSkinnedClothFinishUpdate;0.00;0.00;0.00;0.00;1;1;0
ClothManager.UploadSimulatedSkinData;0.00;0.00;0.00;0.00;1;1;0
Shadows.Sort;0.00;-;0.00;0.00;1;-;-1
SortingGroupManager.Update;0.00;0.00;0.00;0.00;1;1;0
Inl_DecalUpdateCullingGroupsSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
UIEvents.UpdateCanvasRectTransform;0.00;0.00;0.00;0.00;1;1;0
Terrain.UpdateSplatProperties;0.00;0.00;0.00;0.00;1;1;0
Inl_DecalDrawErrorSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
VFX Process Camera;0.00;0.00;0.00;0.00;1;1;0
Send messages;0.00;0.00;0.00;0.00;1;1;0
Director.ProcessFrame;0.00;0.00;0.00;0.00;7;5;-2
PreLateUpdate.DirectorUpdateAnimationEnd;0.00;0.00;0.00;0.00;1;1;0
Profiler.FlushFileIOCounters;0.00;0.00;0.00;0.00;1;1;0
FrameEvents.XREndFrame;0.00;0.00;0.00;0.00;1;1;0
LowLevelPhysics2D.PhysicsWorld.WriteTransformTweens;0.00;0.00;0.00;0.00;1;1;0
Cleanup Unused Cached Data;0.00;0.00;0.00;0.00;1;1;0
PlayerCleanupCachedData;0.00;0.00;0.00;0.00;1;1;0
Draw DBuffer;0.00;0.00;0.00;0.00;1;1;0
UnityEngine.CoreModule.dll!UnityEngine.Rendering::SupportedRenderingFeatures.IsLightmapBakeTypeSupportedByRef() [Invoke];0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.ScriptRunDelayedStartupFrame;0.00;0.00;0.00;0.00;1;1;0
SpeedTreeWindManager.UpdateGlobalAndLocalWinds;0.00;0.00;0.00;0.00;1;1;0
Unity.ResourceManager.dll!::MonoBehaviourCallbackHooks.Update() [Invoke];0.00;0.00;0.00;0.00;2;2;0
Inl_UniversalRenderPipeline.CreateShadowData;0.01;0.01;0.00;0.00;1;1;0
UnityEngine.CoreModule.dll!UnityEngine::UnitySynchronizationContext.ExecuteTasks() [Invoke];0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Entities.BeginInitializationEntityCommandBufferSystem;0.00;0.00;0.00;0.00;1;1;0
CompleteJobs;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.RenderAs2DUpdate;0.00;0.00;0.00;0.00;1;1;0
Initialization.XREarlyUpdate;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Rendering.LODRequirementsUpdateSystem;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Entities.BeginSimulationEntityCommandBufferSystem;0.00;0.00;0.00;0.00;1;1;0
CullResultsToNativeArrays;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Entities.BeginFixedStepSimulationEntityCommandBufferSystem;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Systems.PhysicsAnalyticsSystem;0.00;0.00;0.00;0.00;1;1;0
EntityCommandBuffer.Dispose;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Systems.SyncCustomPhysicsProxySystem;0.00;0.00;0.00;0.00;1;1;0
BatchRendererGroup.AcquireWrite;0.00;0.00;0.00;0.00;4;4;0
EarlyUpdate.AnalyticsCoreStatsUpdate;0.00;0.00;0.00;0.00;1;1;0
Inl_Sort Render Passes;0.00;0.00;0.00;0.00;1;1;0
Graphics.DrawProcedural;0.00;0.00;0.00;0.00;7;7;0
EarlyUpdate.UnityWebRequestUpdate;0.00;0.00;0.00;0.00;1;1;0
Initialization.UpdateCameraMotionVectors;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Rendering.BlendShapeDeformationSystem;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Authoring.DisplayColliderAabbsSystem_Default;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.UpdateVideo;0.00;0.00;0.00;0.00;1;1;0
ObjectDispatcher.FilterInstancesJob;0.00;0.00;0.00;0.00;1;1;0
SkinnedMeshOncePerFrameUpdate;0.00;0.00;0.00;0.00;1;1;0
Default World Unity.Physics.Authoring.DisplayMassPropertiesSystem;0.00;0.00;0.00;0.00;1;1;0
ParticleSystem.EndUpdateAll;0.00;0.00;0.00;0.00;4;4;0
ObjectDispatcher.SortInstances;0.00;0.00;0.00;0.00;1;1;0
PreLateUpdate.DirectorDeferredEvaluate;0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.UpdateAsyncReadbackManager;0.00;0.00;0.00;0.00;1;1;0
GPUResidentDrawer.ProcessMaterials;0.00;0.00;0.00;0.00;1;1;0
TextRendering.CollectGarbage;0.00;0.00;0.00;0.00;1;1;0
GPUResidentDrawer.TransformInstances;0.00;0.00;0.00;0.00;1;1;0
Initialization.SynchronizeState;0.00;0.00;0.00;0.00;1;1;0
VFX.CollectShadowCullResults;0.00;0.00;0.00;0.00;1;1;0
Terrain.Trees.OnWillRender;0.00;0.00;0.00;0.00;2;2;0
Inl_DecalUpdateCulledSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
ParticleSystem.WaitForPreviousRenderingToFinish;0.00;0.00;0.00;0.00;1;1;0
ScheduleCullingGroups;0.00;0.00;0.00;0.00;1;1;0
Update.ScriptRunDelayedDynamicFrameRate;0.00;0.00;0.00;0.00;1;1;0
Application.FlushRenderStats;0.00;0.00;0.00;0.00;1;1;0
EarlyUpdate.GpuTimestamp;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.XRPostLateUpdate;0.00;0.00;0.00;0.00;1;1;0
Semaphore.WaitForSignal;0.00;0.00;0.00;0.00;1;1;0
TextureStreamingManager.Update;0.00;0.00;0.00;0.00;1;1;0
Inl_UniversalRenderPipeline.GetPerObjectLightFlags;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.EndGraphicsJobsAfterScriptLateUpdate;0.00;0.00;0.00;0.00;1;1;0
Inl_DecalCreateDrawCallSystem.Execute;0.00;0.00;0.00;0.00;1;1;0
FindShadowCastingLights;0.00;0.00;0.00;0.00;1;1;0
GC Reserved Memory;0.00;0.00;0.00;0.00;1;1;0
App Resident Memory;0.00;0.00;0.00;0.00;1;1;0
GC Used Memory;0.00;0.00;0.00;0.00;1;1;0
Total Reserved Memory;0.00;0.00;0.00;0.00;1;1;0
Profiler Used Memory;0.00;0.00;0.00;0.00;1;1;0
Total Used Memory;0.00;0.00;0.00;0.00;1;1;0
Profiler Reserved Memory;0.00;0.00;0.00;0.00;1;1;0
App Committed Memory;0.00;0.00;0.00;0.00;1;1;0
PreLateUpdate.PhysicsLateUpdate;0.00;0.00;0.00;0.00;1;1;0
System Used Memory;0.00;0.00;0.00;0.00;1;1;0
Audio Used Memory;0.00;0.00;0.00;0.00;1;1;0
File Handles Open;0.00;0.00;0.00;0.00;1;1;0
Reads in Flight;0.00;0.00;0.00;0.00;1;1;0
Scene Unload Requests;0.00;0.00;0.00;0.00;1;1;0
Scene Load Requests;0.00;0.00;0.00;0.00;1;1;0
Loaded Scenes;0.00;0.00;0.00;0.00;1;1;0
Command Process Time;0.00;0.00;0.00;0.00;1;1;0
System Total Used Memory;0.00;0.00;0.00;0.00;1;1;0
Audio Reserved Memory;0.00;0.00;0.00;0.00;1;1;0
Gfx Used Memory;0.00;0.00;0.00;0.00;1;1;0
Video Reserved Memory;0.00;0.00;0.00;0.00;1;1;0
Object Count;0.00;0.00;0.00;0.00;1;1;0
AudioClip Count;0.00;0.00;0.00;0.00;1;1;0
AudioClip Memory;0.00;0.00;0.00;0.00;1;1;0
AnimationClip Count;0.00;0.00;0.00;0.00;1;1;0
AnimationClip Memory;0.00;0.00;0.00;0.00;1;1;0
Material Count;0.00;0.00;0.00;0.00;1;1;0
Material Memory;0.00;0.00;0.00;0.00;1;1;0
Mesh Count;0.00;0.00;0.00;0.00;1;1;0
Video Used Memory;0.00;0.00;0.00;0.00;1;1;0
Mesh Memory;0.00;0.00;0.00;0.00;1;1;0
Texture Memory;0.00;0.00;0.00;0.00;1;1;0
Gfx Reserved Memory;0.00;0.00;0.00;0.00;1;1;0
Object Ref Count;0.00;0.00;0.00;0.00;1;1;0
GC Allocated In Frame;0.00;0.00;0.00;0.00;1;1;0
GC Allocation In Frame Count;0.00;0.00;0.00;0.00;1;1;0
Game Object Count;0.00;0.00;0.00;0.00;1;1;0
Scene Object Count;0.00;0.00;0.00;0.00;1;1;0
Asset Count;0.00;0.00;0.00;0.00;1;1;0
Texture Count;0.00;0.00;0.00;0.00;1;1;0
Object Release Requests;0.00;0.00;0.00;0.00;1;1;0
Physics Used Memory (2D);0.00;0.00;0.00;0.00;1;1;0
Loaded Archives;0.00;0.00;0.00;0.00;1;1;0
UIEvents.AlignCanvasRectTransformWithCamera;0.00;0.00;0.00;0.00;1;1;0
ScheduleAllocJob;0.00;0.00;0.00;0.00;26;27;1
KickJobs;0.00;0.00;0.00;0.00;55;55;0
CullingGroupSendEvents;0.00;0.00;0.00;0.00;1;1;0
PostLateUpdate.UpdateCaptureScreenshot;0.00;0.00;0.00;0.00;1;1;0
Physics.WriteRigidbodyPoses;0.00;-;0.00;0.00;1;-;-1
WaitForCompleted;0.00;0.00;0.00;0.00;49;49;0
ScheduleJob;0.00;0.00;0.00;0.00;86;85;-1
Setup Debug Properties;0.00;0.00;0.00;0.00;1;1;0
Physics Used Memory;0.00;0.00;0.00;0.00;2;1;-1
EndJob;0.00;0.00;0.00;0.00;8;3;-5
Object Load Requests;0.00;0.00;0.00;0.00;1;1;0
File Seeks;0.00;0.00;0.00;0.00;1;1;0
Files Closed;0.00;0.00;0.00;0.00;1;1;0
Loaded Files;0.00;0.00;0.00;0.00;1;1;0
Loaded Objects;0.00;0.00;0.00;0.00;1;1;0
Scenes;0.00;0.00;0.00;0.00;1;1;0
Assets;0.00;0.00;0.00;0.00;1;1;0
Asset Bundles;0.00;0.00;0.00;0.00;1;1;0
Catalogs;0.00;0.00;0.00;0.00;1;1;0
BeginJob;0.00;0.00;0.00;0.00;8;3;-5
Entities Reads;0.00;0.00;0.00;0.00;1;1;0
Files Opened;0.00;0.00;0.00;0.00;1;1;0
Scripting Reads;0.00;0.00;0.00;0.00;1;1;0
Mesh Reads;0.00;0.00;0.00;0.00;1;1;0
Virtual Texture Reads;0.00;0.00;0.00;0.00;1;1;0
Texture Reads;0.00;0.00;0.00;0.00;1;1;0
Other Reads;0.00;0.00;0.00;0.00;1;1;0
File Reads Finished;0.00;0.00;0.00;0.00;1;1;0
File Reads Started;0.00;0.00;0.00;0.00;1;1;0
File Bytes Read;0.00;0.00;0.00;0.00;1;1;0
File Bytes Written;0.00;0.00;0.00;0.00;1;1;0
Audio Reads;0.00;0.00;0.00;0.00;1;1;0
